user,date,rawContent,user_location,verified,followers,created
"{'username': 'purushueme', 'id': 1349630060, 'displayname': '#Purushotam🇮🇳🇮🇳🇮🇳', 'rawDescription': 'I love my India🇮🇳 ATS,PG (Public Adm) \nOnce Soldier always Soldier.\nHate corrupt,Secularism & hypocrisy. RTs no\nendorsement. VANDEMATARAM 🇮🇳 \nDOB,01 Dec', 'renderedDescription': 'I love my India🇮🇳 ATS,PG (Public Adm) \nOnce Soldier always Soldier.\nHate corrupt,Secularism & hypocrisy. RTs no\nendorsement. VANDEMATARAM 🇮🇳 \nDOB,01 Dec', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 4, 13, 16, 16, 53, tzinfo=datetime.timezone.utc), 'followersCount': 19159, 'friendsCount': 21095, 'statusesCount': 75591, 'favouritesCount': 47430, 'listedCount': 60, 'mediaCount': 5734, 'location': 'Delhi,California and London ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1554753007190888448/g5bJkl9d_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1349630060/1630588430', 'label': None}",2013-08-23 05:03:44+00:00,"""@Devinder_Sharma:  All are tainted. No one 'honest' . BOYCOTT ALL ROTTEN ONE""","Delhi,California and London ",False,19159,2013-04-13 16:16:53+00:00
"{'username': 'seshanm', 'id': 408502450, 'displayname': 'Seshan Ranganathan', 'rawDescription': 'Husband of one, father of two, Trustee, Health, Education And Development (HEAD) Trust and in actual essence, a poet.', 'renderedDescription': 'Husband of one, father of two, Trustee, Health, Education And Development (HEAD) Trust and in actual essence, a poet.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 11, 9, 14, 16, 34, tzinfo=datetime.timezone.utc), 'followersCount': 1104, 'friendsCount': 608, 'statusesCount': 75524, 'favouritesCount': 4694, 'listedCount': 12, 'mediaCount': 4285, 'location': 'Thane, Maharashtra, Bharat', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1514263021706641413/pRTVWiXk_normal.jpg', 'profileBannerUrl': None, 'label': None}",2013-08-20 16:50:36+00:00,@timesnow As a dispasssionate observer I think once the Censor Board decides none should interfere. Boycott the film but do not obstruct.,"Thane, Maharashtra, Bharat",False,1104,2011-11-09 14:16:34+00:00
"{'username': 'smartsitesh', 'id': 41825809, 'displayname': 'Sitesh Srivastava', 'rawDescription': 'Thought-Collab, value soft skills. IT Professional, StartUp synergies, Artist, Entrepreneurial, Radio Presenter, Media agnostic. Customer Experience Management', 'renderedDescription': 'Thought-Collab, value soft skills. IT Professional, StartUp synergies, Artist, Entrepreneurial, Radio Presenter, Media agnostic. Customer Experience Management', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 5, 22, 14, 51, 48, tzinfo=datetime.timezone.utc), 'followersCount': 819, 'friendsCount': 2553, 'statusesCount': 26322, 'favouritesCount': 11396, 'listedCount': 130, 'mediaCount': 227, 'location': 'India South Africa Japan UK', 'protected': False, 'link': {'text': 'smartsitesh.com', 'url': 'http://www.smartsitesh.com', 'tcourl': 'https://t.co/VnnKo2laG7', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1507362574530060288/s7DnbFqJ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/41825809/1648218219', 'label': None}",2013-08-19 04:40:45+00:00,"@kiranshaw till the ""Boy gets Caught"" no one will Boycott - doer or giver. Facilitate the law that has punish instances &amp; precedents",India South Africa Japan UK,False,819,2009-05-22 14:51:48+00:00
