user,date,rawContent,user_location,verified,followers,created
"{'username': 'loveFORgandhi', 'id': 2833662334, 'displayname': 'Dr Griglani', 'rawDescription': 'consultant laparoscopic surgeon at Vadodara , egalitarian , constitutionalist', 'renderedDescription': 'consultant laparoscopic surgeon at Vadodara , egalitarian , constitutionalist', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2014, 10, 16, 8, 6, 28, tzinfo=datetime.timezone.utc), 'followersCount': 792, 'friendsCount': 5005, 'statusesCount': 31317, 'favouritesCount': 55646, 'listedCount': 4, 'mediaCount': 316, 'location': 'Vadodra, Gujarat', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1251040844184014854/d4rVae1w_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-08-12 15:57:15+00:00,"Let’s start “Boycott Arnab” on social media , all nation loving citizens must participate and make it a huge success","Vadodra, Gujarat",False,792,2014-10-16 08:06:28+00:00
"{'username': 'akkitweetss', 'id': 58795298, 'displayname': 'Akram Azeez', 'rawDescription': 'A human, a MusLim, a friend, a son & totaL mad!  \n\nReaLLy a crazy, mad person! !    \n\nProud Indian, Lover of Peace & Harmony!\n\nLoves ANIMALS, then Loves peopLe.', 'renderedDescription': 'A human, a MusLim, a friend, a son & totaL mad!  \n\nReaLLy a crazy, mad person! !    \n\nProud Indian, Lover of Peace & Harmony!\n\nLoves ANIMALS, then Loves peopLe.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 7, 21, 13, 32, 40, tzinfo=datetime.timezone.utc), 'followersCount': 380, 'friendsCount': 81, 'statusesCount': 17906, 'favouritesCount': 47917, 'listedCount': 10, 'mediaCount': 129, 'location': 'Bangalore, Ambur, Chennai.', 'protected': False, 'link': {'text': 'facebook.com/akramazeez', 'url': 'http://www.facebook.com/akramazeez', 'tcourl': 'https://t.co/XGYgSOTSkH', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/889738909248126976/TRiJIS0p_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/58795298/1427187697', 'label': None}",2018-08-12 00:53:17+00:00,"BOYCOTT #CIRCUSES &amp; #Zoos, 
Because their unethicaL treatment incLudes 
CHAINING #ELephants up by their feet and trunks, 
as weLL as BEATING them frequentLy. ):
Stand for them! 

#WorLdELephantDay 
#WorLdELephantDay2018 

@peta @dodo @WWF https://t.co/KK0vwUFCjl","Bangalore, Ambur, Chennai.",False,380,2009-07-21 13:32:40+00:00
"{'username': 'akkitweetss', 'id': 58795298, 'displayname': 'Akram Azeez', 'rawDescription': 'A human, a MusLim, a friend, a son & totaL mad!  \n\nReaLLy a crazy, mad person! !    \n\nProud Indian, Lover of Peace & Harmony!\n\nLoves ANIMALS, then Loves peopLe.', 'renderedDescription': 'A human, a MusLim, a friend, a son & totaL mad!  \n\nReaLLy a crazy, mad person! !    \n\nProud Indian, Lover of Peace & Harmony!\n\nLoves ANIMALS, then Loves peopLe.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 7, 21, 13, 32, 40, tzinfo=datetime.timezone.utc), 'followersCount': 380, 'friendsCount': 81, 'statusesCount': 17906, 'favouritesCount': 47917, 'listedCount': 10, 'mediaCount': 129, 'location': 'Bangalore, Ambur, Chennai.', 'protected': False, 'link': {'text': 'facebook.com/akramazeez', 'url': 'http://www.facebook.com/akramazeez', 'tcourl': 'https://t.co/XGYgSOTSkH', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/889738909248126976/TRiJIS0p_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/58795298/1427187697', 'label': None}",2018-08-12 00:02:56+00:00,"BOYCOTT #CIRCUSES &amp; #Zoos, 
Because their unethicaL treatment incLudes 
CHAINING #ELephants up by their feet and trunks, 
as weLL as BEATING them frequentLy.… https://t.co/yHrBpPZ07j","Bangalore, Ambur, Chennai.",False,380,2009-07-21 13:32:40+00:00
"{'username': 'ArunMis58616595', 'id': 873984877456130048, 'displayname': 'Arun Misra', 'rawDescription': 'I am resident of S.S.Nagar,lokhandwala Andheri (w) Mumbai-400053 my native place and Home Town is saraimiran, Kannauj  (U.P.)', 'renderedDescription': 'I am resident of S.S.Nagar,lokhandwala Andheri (w) Mumbai-400053 my native place and Home Town is saraimiran, Kannauj  (U.P.)', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2017, 6, 11, 19, 26, 47, tzinfo=datetime.timezone.utc), 'followersCount': 618, 'friendsCount': 2929, 'statusesCount': 4458, 'favouritesCount': 2067, 'listedCount': 0, 'mediaCount': 135, 'location': 'Saraimeera Kannauj, India', 'protected': False, 'link': {'text': 'arunaroma.com', 'url': 'http://www.arunaroma.com', 'tcourl': 'https://t.co/dtCV0iepIX', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1066372401452052480/uBB7hXHX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/873984877456130048/1544003297', 'label': None}",2018-08-11 16:06:28+00:00,@ibhupendra I  m not satisfied with  karan Johar vo khud to nanga hai hi jo bhi uske sath judega usko vo nanga karega. He is very dangerous man/ woman.he is not respect woman. She is dirty man in Indian bollywood. I boycott him and his show coffee with karan.,"Saraimeera Kannauj, India",False,618,2017-06-11 19:26:47+00:00
"{'username': 'ragways', 'id': 4181892494, 'displayname': 'Rag', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 11, 9, 18, 24, 35, tzinfo=datetime.timezone.utc), 'followersCount': 777, 'friendsCount': 42, 'statusesCount': 81308, 'favouritesCount': 147, 'listedCount': 9, 'mediaCount': 1544, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1554029732697886723/_66ODofM_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/4181892494/1659344538', 'label': None}",2018-08-11 13:26:44+00:00,@In_deep_trance @stasac01 @deepsealioness Did Anna write his differences with Periyar over Periyar's call to boycott the Independence Day celebrations in the Dravida Nadu weekly.. ?,,False,777,2015-11-09 18:24:35+00:00
"{'username': 'Moh13', 'id': 39465090, 'displayname': 'Pakiya', 'rawDescription': 'Never conquered, rarely came', 'renderedDescription': 'Never conquered, rarely came', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 5, 12, 9, 12, 56, tzinfo=datetime.timezone.utc), 'followersCount': 474, 'friendsCount': 2054, 'statusesCount': 9639, 'favouritesCount': 19084, 'listedCount': 6, 'mediaCount': 367, 'location': 'Calcio', 'protected': False, 'link': {'text': 'existentialabsurd.blogspot.com', 'url': 'http://www.existentialabsurd.blogspot.com', 'tcourl': 'https://t.co/EFgG7SE6SQ', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1451805428745048064/wPFdec-M_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/39465090/1622640688', 'label': None}",2018-08-11 09:01:42+00:00,@PranavSingh33 @StarSportsIndia @LFC @Hindi_Liverpool @Liverpoolpune Kr de boycott..mat dekhna match 🤣🤣🤣,Calcio,False,474,2009-05-12 09:12:56+00:00
"{'username': 'akkitweetss', 'id': 58795298, 'displayname': 'Akram Azeez', 'rawDescription': 'A human, a MusLim, a friend, a son & totaL mad!  \n\nReaLLy a crazy, mad person! !    \n\nProud Indian, Lover of Peace & Harmony!\n\nLoves ANIMALS, then Loves peopLe.', 'renderedDescription': 'A human, a MusLim, a friend, a son & totaL mad!  \n\nReaLLy a crazy, mad person! !    \n\nProud Indian, Lover of Peace & Harmony!\n\nLoves ANIMALS, then Loves peopLe.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 7, 21, 13, 32, 40, tzinfo=datetime.timezone.utc), 'followersCount': 380, 'friendsCount': 81, 'statusesCount': 17906, 'favouritesCount': 47917, 'listedCount': 10, 'mediaCount': 129, 'location': 'Bangalore, Ambur, Chennai.', 'protected': False, 'link': {'text': 'facebook.com/akramazeez', 'url': 'http://www.facebook.com/akramazeez', 'tcourl': 'https://t.co/XGYgSOTSkH', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/889738909248126976/TRiJIS0p_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/58795298/1427187697', 'label': None}",2018-08-11 06:16:05+00:00,"It's the worLd #Lion Day, today! 
Such a #Magnificent, #Dominant, #PowerfuL creature yet, 
So #vuLnerabLe towards #Humans! 
OnLy #THREAT to these beautifuL beings are #Humans! 
BOYCOTT #ZOOs &amp; #CIRCUSSES 

#WorLdLionDay @peta @dodo @WWF  
#WorldLionDay2018 https://t.co/nCs8IVH0Xf","Bangalore, Ambur, Chennai.",False,380,2009-07-21 13:32:40+00:00
"{'username': 'ArunMis58616595', 'id': 873984877456130048, 'displayname': 'Arun Misra', 'rawDescription': 'I am resident of S.S.Nagar,lokhandwala Andheri (w) Mumbai-400053 my native place and Home Town is saraimiran, Kannauj  (U.P.)', 'renderedDescription': 'I am resident of S.S.Nagar,lokhandwala Andheri (w) Mumbai-400053 my native place and Home Town is saraimiran, Kannauj  (U.P.)', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2017, 6, 11, 19, 26, 47, tzinfo=datetime.timezone.utc), 'followersCount': 618, 'friendsCount': 2929, 'statusesCount': 4458, 'favouritesCount': 2067, 'listedCount': 0, 'mediaCount': 135, 'location': 'Saraimeera Kannauj, India', 'protected': False, 'link': {'text': 'arunaroma.com', 'url': 'http://www.arunaroma.com', 'tcourl': 'https://t.co/dtCV0iepIX', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1066372401452052480/uBB7hXHX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/873984877456130048/1544003297', 'label': None}",2018-08-11 06:10:49+00:00,@ibhupendra I boycott Karan Johar. He is dirty man in bollywood I boycott her/his show coffee with karan.he don't know how to respect woman.khud ko to nanga kar hi chukka hai.vo baki ko nanga karna chahta hai. This is a mental case. Apni maa se puche  to jane.,"Saraimeera Kannauj, India",False,618,2017-06-11 19:26:47+00:00
"{'username': 'remor_1987', 'id': 1410080833, 'displayname': 'Rohit Melawane', 'rawDescription': 'Aye barish zara tham ke baras,\nJab mera yaar aa jaye to jam ke baras,\nPehle na baras ki woh aa na sake,\nPhir itna baras ki woh ja na sake.', 'renderedDescription': 'Aye barish zara tham ke baras,\nJab mera yaar aa jaye to jam ke baras,\nPehle na baras ki woh aa na sake,\nPhir itna baras ki woh ja na sake.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 5, 7, 11, 52, 58, tzinfo=datetime.timezone.utc), 'followersCount': 10, 'friendsCount': 37, 'statusesCount': 33, 'favouritesCount': 76, 'listedCount': 0, 'mediaCount': 3, 'location': 'Mumbai', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3626268141/934b6d22fd0f41ef7610b203f218b0e3_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1410080833/1406192638', 'label': None}",2018-08-11 04:51:15+00:00,"@Central_Railway1.how abt if all travellers boycott traveling in train just like motorman did not thought how much trouble it cost to the people trvling in train?
2.what if,passengers decided not to take seasonal pass for the every altrn8 Central railway issues?",Mumbai,False,10,2013-05-07 11:52:58+00:00
"{'username': 'Uttam5744', 'id': 836913044596850688, 'displayname': 'Uttam Jain 5744', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2017, 3, 1, 12, 16, 33, tzinfo=datetime.timezone.utc), 'followersCount': 11, 'friendsCount': 205, 'statusesCount': 169, 'favouritesCount': 2849, 'listedCount': 0, 'mediaCount': 6, 'location': 'Bangalore', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",2018-08-10 07:28:15+00:00,@NavbharatTimes All Indian and Indian native boycott British Airways,Bangalore,False,11,2017-03-01 12:16:33+00:00
"{'username': 'boseudayan', 'id': 53581322, 'displayname': 'Udayan Bose', 'rawDescription': 'Banker, financier, thinker. Have strong views most of the time, never afraid to articulate. Alumni Presidency College, Calcutta & Harvard Business School,Boston', 'renderedDescription': 'Banker, financier, thinker. Have strong views most of the time, never afraid to articulate. Alumni Presidency College, Calcutta & Harvard Business School,Boston', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 7, 4, 3, 24, 40, tzinfo=datetime.timezone.utc), 'followersCount': 5163, 'friendsCount': 602, 'statusesCount': 28110, 'favouritesCount': 848, 'listedCount': 53, 'mediaCount': 85, 'location': 'Bombay, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/457438807755739137/kCchXVnG_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/53581322/1429014228', 'label': None}",2018-08-10 04:21:49+00:00,"@SandipGhose @amritabhinder After all the fine speeches of welcome, they boycott a breakfast meeting invited sincerely by the Chairman of RS. So who starts the bad blood between the new Dy Chairman and Congress? Very silly and juvenile","Bombay, India",False,5163,2009-07-04 03:24:40+00:00
"{'username': 'Kavita_M57', 'id': 3050197880, 'displayname': 'KavitaM 🇮🇳', 'rawDescription': 'Proud Hindu. Staunch supporter of NAMO and proud to be followed by him. \nStrongly allergic to INC AAP LEFT etc.', 'renderedDescription': 'Proud Hindu. Staunch supporter of NAMO and proud to be followed by him. \nStrongly allergic to INC AAP LEFT etc.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 2, 28, 15, 44, 40, tzinfo=datetime.timezone.utc), 'followersCount': 9850, 'friendsCount': 2316, 'statusesCount': 213042, 'favouritesCount': 144203, 'listedCount': 115, 'mediaCount': 5442, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1559512659653165057/o_0ems1q_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-08-09 19:56:35+00:00,@bhuvikal @RahulGandhi Why don't they just boycott politics. Will be good riddance to bad rubbish,,False,9850,2015-02-28 15:44:40+00:00
