user,date,rawContent,user_location,verified,followers,created
"{'username': 'rkannantrg', 'id': 2747729841, 'displayname': 'R Kannan', 'rawDescription': 'This too shall pass... Views are personal.', 'renderedDescription': 'This too shall pass... Views are personal.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2014, 8, 20, 11, 5, 1, tzinfo=datetime.timezone.utc), 'followersCount': 708, 'friendsCount': 1266, 'statusesCount': 23717, 'favouritesCount': 63384, 'listedCount': 8, 'mediaCount': 1410, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1554319569388462081/hmSl1ty5_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2747729841/1659413649', 'label': None}",2018-10-21 17:06:15+00:00,@SkcSudhir @vivekagnihotri @republic Plus the solid boycott threats that appeared in social media must have chickened them out... @rajeev_mp,,False,708,2014-08-20 11:05:01+00:00
"{'username': 'balu566', 'id': 2250295404, 'displayname': 'Balakrishna', 'rawDescription': 'Kannadiga and Pure Brahmin.\nIn one word, ಪುಣ್ಯಕೋಟಿ 🐥\nಯಾವ ಪಕ್ಷಕ್ಕೂ ಸೇರದ ತ್ರಿಶಂಕು. ಹಾಸ್ಯಪ್ರೇಮಿ.', 'renderedDescription': 'Kannadiga and Pure Brahmin.\nIn one word, ಪುಣ್ಯಕೋಟಿ 🐥\nಯಾವ ಪಕ್ಷಕ್ಕೂ ಸೇರದ ತ್ರಿಶಂಕು. ಹಾಸ್ಯಪ್ರೇಮಿ.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 12, 17, 11, 57, 53, tzinfo=datetime.timezone.utc), 'followersCount': 135, 'friendsCount': 355, 'statusesCount': 2905, 'favouritesCount': 9348, 'listedCount': 0, 'mediaCount': 1069, 'location': 'Bangalore', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/544905704918634496/kpiinCYn_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2250295404/1522412786', 'label': None}",2018-10-21 14:57:53+00:00,"@KicchaSudeep please strictly instruct your bad fanfare to stop sacrificing animals for the movie. Else, we all boycott all your movies in future
@Shivarajkumar_",Bangalore,False,135,2013-12-17 11:57:53+00:00
"{'username': 'PBalasundaran', 'id': 972707922173083648, 'displayname': 'pattath balasundaran', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2018, 3, 11, 5, 36, 55, tzinfo=datetime.timezone.utc), 'followersCount': 10, 'friendsCount': 24, 'statusesCount': 227, 'favouritesCount': 15, 'listedCount': 0, 'mediaCount': 2, 'location': 'Ottappalam, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/972708708089081856/f_NkSvgC_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-10-21 06:34:48+00:00,@asianewsnetwork .U are selective in covering Sabarimala issues .We also boycott ur channel,"Ottappalam, India",False,10,2018-03-11 05:36:55+00:00
"{'username': 'PBalasundaran', 'id': 972707922173083648, 'displayname': 'pattath balasundaran', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2018, 3, 11, 5, 36, 55, tzinfo=datetime.timezone.utc), 'followersCount': 10, 'friendsCount': 24, 'statusesCount': 227, 'favouritesCount': 15, 'listedCount': 0, 'mediaCount': 2, 'location': 'Ottappalam, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/972708708089081856/f_NkSvgC_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-10-21 06:33:59+00:00,@ReporterTv1 . U are selective in covering Sabarimala issues . Are ur channel anti hindu . We have decided to boycott ur channel,"Ottappalam, India",False,10,2018-03-11 05:36:55+00:00
"{'username': 'HydWatch', 'id': 797761076595068928, 'displayname': 'Hyderabad Civic Problem scanner', 'rawDescription': ""News with Focus on people's problems in Sarcastic🙃 Tone for Better India with Public Transport Development🌲Political ReTweets r for Fun & GK 🌳 🌊🐢"", 'renderedDescription': ""News with Focus on people's problems in Sarcastic🙃 Tone for Better India with Public Transport Development🌲Political ReTweets r for Fun & GK 🌳 🌊🐢"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2016, 11, 13, 11, 20, 37, tzinfo=datetime.timezone.utc), 'followersCount': 7133, 'friendsCount': 5561, 'statusesCount': 309574, 'favouritesCount': 190835, 'listedCount': 36, 'mediaCount': 6808, 'location': 'Hitech City, Rajendra Nagar', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1606993131786113025/jng1COx__normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/797761076595068928/1581518980', 'label': None}",2018-10-21 05:23:31+00:00,"@emanin #Kerala govt deliberately desecrating #Sabarimala temple yo please VoteBanks , Hindus can start boycott Kerala's products for 40 days, coconuts, Coconut oil, Kerala firms Jou Alukkas, Kalyan jweller etc start I don't buy #Kerala produce as protest @People4Dharma @hindumunnaniFC","Hitech City, Rajendra Nagar",False,7133,2016-11-13 11:20:37+00:00
"{'username': 'pvnatarajan', 'id': 242356895, 'displayname': 'P V Natarajan', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 1, 24, 16, 3, 20, tzinfo=datetime.timezone.utc), 'followersCount': 482, 'friendsCount': 486, 'statusesCount': 45634, 'favouritesCount': 14473, 'listedCount': 16, 'mediaCount': 1208, 'location': 'India &  UK', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1283888164084445184/wxOQkycp_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-10-20 22:25:58+00:00,@rammadhavbjp Deceive yourselves with statistics based on a very poor turn out &amp; boycott by major parties.,India &  UK,False,482,2011-01-24 16:03:20+00:00
"{'username': 'harrys4u', 'id': 1361736697, 'displayname': 'Hari Krishna', 'rawDescription': 'My tweets are my own views and do not necessarily represent the views of my employer or any organisation. No one pays me for RTs.', 'renderedDescription': 'My tweets are my own views and do not necessarily represent the views of my employer or any organisation. No one pays me for RTs.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 4, 18, 11, 53, 20, tzinfo=datetime.timezone.utc), 'followersCount': 107, 'friendsCount': 330, 'statusesCount': 11297, 'favouritesCount': 71442, 'listedCount': 1, 'mediaCount': 328, 'location': 'Bangalore', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1554076966986268672/MP3Yq0h9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1361736697/1509167128', 'label': None}",2018-10-20 16:55:49+00:00,@republic Boycott Republic,Bangalore,False,107,2013-04-18 11:53:20+00:00
"{'username': 'dikshantj96', 'id': 2984308429, 'displayname': 'Dikshant Jain', 'rawDescription': 'chartered soon 🎓 \nबाकी सब तो मोह माया है!!!! :)', 'renderedDescription': 'chartered soon 🎓 \nबाकी सब तो मोह माया है!!!! :)', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 1, 15, 14, 59, 44, tzinfo=datetime.timezone.utc), 'followersCount': 228, 'friendsCount': 1704, 'statusesCount': 1042, 'favouritesCount': 13453, 'listedCount': 0, 'mediaCount': 56, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1390867282541219842/hCOktXdv_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-10-20 12:53:05+00:00,"@Shehla_Rashid @thewire_in @VinodDua7 @ShekharGupta @republic @sudhirchaudhary @ndtv @abhisar_sharma @ShekharGupta @sadhavi never find anything praiseworthy frm govt. @ZeeNews @republic have nothing to criticize, ever veiwed there profile?? We must boycott them!",,False,228,2015-01-15 14:59:44+00:00
"{'username': 'ophelia94301400', 'id': 4298875938, 'displayname': 'Bigg Boss fan 🦋', 'rawDescription': 'Twitteraholic. Typical introvert. General thinker, Unapologetic reader. Passionate analyst. Bigg Boss n reality show fan...', 'renderedDescription': 'Twitteraholic. Typical introvert. General thinker, Unapologetic reader. Passionate analyst. Bigg Boss n reality show fan...', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 11, 20, 8, 21, 45, tzinfo=datetime.timezone.utc), 'followersCount': 516, 'friendsCount': 774, 'statusesCount': 82106, 'favouritesCount': 47534, 'listedCount': 2, 'mediaCount': 312, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1357607782254477312/DqgnqOVO_normal.jpg', 'profileBannerUrl': None, 'label': None}",2018-10-20 07:56:54+00:00,@bluntJaat @BiggBoss @BeingSalmanKhan @sreesanth36 @ColorsTV @TeamSreesanth Just boycott the show...trp Apne app 0,"Mumbai, India",False,516,2015-11-20 08:21:45+00:00
"{'username': 'DRRReddy', 'id': 1186042242, 'displayname': 'D Ramachandra Reddy', 'rawDescription': 'SR Director, Googee properties. Banker to Entrepreneur . A Banking and Finance professional worked  in India and  Africa. interest in social & political issues.', 'renderedDescription': 'SR Director, Googee properties. Banker to Entrepreneur . A Banking and Finance professional worked  in India and  Africa. interest in social & political issues.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 2, 16, 12, 17, 18, tzinfo=datetime.timezone.utc), 'followersCount': 737, 'friendsCount': 1062, 'statusesCount': 17779, 'favouritesCount': 15720, 'listedCount': 39, 'mediaCount': 633, 'location': 'Hyderabad', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1373485105533050880/ZZtJk6H6_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1186042242/1431272103', 'label': None}",2018-10-20 07:36:21+00:00,@TewariAlok @MRVChennai @republic @ndtv @Nidhi @SreenivasanJain Request @RakeshSinha01 to boycott @republic ..not fair to go there when many have boycotted on your call ..,Hyderabad,False,737,2013-02-16 12:17:18+00:00
