user,date,rawContent,user_location,verified,followers,created
"{'username': 'saurabhwave1', 'id': 798883534635024384, 'displayname': 'Saurabh Singh', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2016, 11, 16, 13, 40, 52, tzinfo=datetime.timezone.utc), 'followersCount': 25, 'friendsCount': 196, 'statusesCount': 282, 'favouritesCount': 272, 'listedCount': 0, 'mediaCount': 18, 'location': 'Uttar Pradesh, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1543022124226543619/y0Y_7_99_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-09-11 19:50:20+00:00,"Picture of Brhmastr....Bramhstra movie me Ranveer Dua Krte huye Bhagwan se... Definately need to boycott Bollywood
#BoycottBrahamastra https://t.co/SJQdzNHcQU","Uttar Pradesh, India",False,25,2016-11-16 13:40:52+00:00
"{'username': 'sunilvish12', 'id': 96046336, 'displayname': 'sunil vishwakarma', 'rawDescription': 'Director of photography', 'renderedDescription': 'Director of photography', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 12, 11, 3, 19, 30, tzinfo=datetime.timezone.utc), 'followersCount': 397, 'friendsCount': 327, 'statusesCount': 15887, 'favouritesCount': 31322, 'listedCount': 9, 'mediaCount': 343, 'location': 'mumbai', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1563177169789997056/B2-sw5e9_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/96046336/1523072119', 'label': None}",2022-09-11 18:47:23+00:00,@smarket People like me now fed-up with boycott of everything we are not one book relegion. Now too much..,mumbai,False,397,2009-12-11 03:19:30+00:00
"{'username': 'BIRENDR12881292', 'id': 837193550790029312, 'displayname': 'BIRENDRA', 'rawDescription': 'Jai hind, Jai Bihar', 'renderedDescription': 'Jai hind, Jai Bihar', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2017, 3, 2, 6, 51, 11, tzinfo=datetime.timezone.utc), 'followersCount': 2, 'friendsCount': 35, 'statusesCount': 1549, 'favouritesCount': 277, 'listedCount': 0, 'mediaCount': 280, 'location': 'Bengaluru, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/838364834324426752/3YM1UAOQ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/837193550790029312/1502696828', 'label': None}",2022-09-11 18:37:28+00:00,Nahi hoga Sir...... Boycott tathakathit charsi gang,"Bengaluru, India",False,2,2017-03-02 06:51:11+00:00
"{'username': 'NishantVijayva1', 'id': 727242601963905026, 'displayname': 'Nishant Vijayvargiya', 'rawDescription': '""Do what you can, with what you have, where you are.""', 'renderedDescription': '""Do what you can, with what you have, where you are.""', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2016, 5, 2, 21, 5, 22, tzinfo=datetime.timezone.utc), 'followersCount': 40, 'friendsCount': 142, 'statusesCount': 130, 'favouritesCount': 110, 'listedCount': 0, 'mediaCount': 21, 'location': 'New Delhi, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1561440691141484544/XXa3gAAX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/727242601963905026/1661111457', 'label': None}",2022-09-11 18:16:12+00:00,Hate the fact that we have to boycott Bollywood at its struggling days when we were enjoying it at its best #Brahmashtra #SupportBollywood @aliaa08 @iamRanbirKapoor @SrBachchan @iamsrk @Roymouni i Had goosebumps in some scenes! 😍 https://t.co/jGHrmILqLO,"New Delhi, India",False,40,2016-05-02 21:05:22+00:00
"{'username': 'rajvee03', 'id': 278079560, 'displayname': 'Actor Rajat', 'rawDescription': 'Actor | Theatre Artist | Voice Over Artist | Follow me on Instagram: https://t.co/h7hqwZAX0Q', 'renderedDescription': 'Actor | Theatre Artist | Voice Over Artist | Follow me on Instagram: instagram.com/actorrajat/', 'descriptionLinks': [{'text': 'instagram.com/actorrajat/', 'url': 'https://www.instagram.com/actorrajat/', 'tcourl': 'https://t.co/h7hqwZAX0Q', 'indices': (69, 92)}], 'verified': False, 'created': datetime.datetime(2011, 4, 6, 15, 28, tzinfo=datetime.timezone.utc), 'followersCount': 171, 'friendsCount': 53, 'statusesCount': 30195, 'favouritesCount': 45180, 'listedCount': 0, 'mediaCount': 38, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1559748013563686912/cFNBy3gA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/278079560/1670347628', 'label': None}",2022-09-11 18:05:03+00:00,"@LiberalSlayer72 Unfortunately, Hinduyo ko kabhi ek nahi kiya jaa sakta 😂 They suck at everything! They can't even boycott a film with unity!","Mumbai, India",False,171,2011-04-06 15:28:00+00:00
"{'username': 'sonuchhonkar0', 'id': 1450420024754069504, 'displayname': 'sonu chhonkar', 'rawDescription': 'किसान पुत्र Following the principles of Chaudhary\nCharan Singh Ji. Proud supporter of @RLDparty\nand Ex. M.P @jayantrld and blessed to be followed\nby him.', 'renderedDescription': 'किसान पुत्र Following the principles of Chaudhary\nCharan Singh Ji. Proud supporter of @RLDparty\nand Ex. M.P @jayantrld and blessed to be followed\nby him.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 10, 19, 11, 14, 52, tzinfo=datetime.timezone.utc), 'followersCount': 1912, 'friendsCount': 239, 'statusesCount': 4218, 'favouritesCount': 14462, 'listedCount': 0, 'mediaCount': 1379, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1603080074173247490/qHsICKf8_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1450420024754069504/1647713539', 'label': None}",2022-09-11 18:02:27+00:00,"मोदी जी के मन की बात में लाइक की जगह डिस लाइक ज्यादा आने से यूट्यूब इंडिया से डिस लाइक का काउंट की हटवा दिया गया है, वाह मोदी जी वाह आप कुछ भी कर लेवे   #Boycott_BJP
  @PMOIndia 
@jayantrld
@MalikBirpal @RahulGandhi",,False,1912,2021-10-19 11:14:52+00:00
"{'username': 'Sinubdr', 'id': 785760367834116096, 'displayname': 'Srinivasreddy', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2016, 10, 11, 8, 34, 5, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 18, 'statusesCount': 43, 'favouritesCount': 37, 'listedCount': 0, 'mediaCount': 3, 'location': 'Bidar, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",2022-09-11 17:46:55+00:00,@karanjohar Boycott brahmastra 🙏🙏,"Bidar, India",False,6,2016-10-11 08:34:05+00:00
"{'username': 'PikaDetects', 'id': 1400382639886934020, 'displayname': 'PIKACHU4SSR SAYS-SSR IS 💞ALIVE🦋😎', 'rawDescription': 'SUPREME #PIKACHU4SSR | 👻PIKABOO4SSR ALIVE👻\nIT Activist Student | SAP®, SPY© | MBA FIN Qualified | SAP Consultant Certified |  PokemonGO Fan & Player Level 32+', 'renderedDescription': 'SUPREME #PIKACHU4SSR | 👻PIKABOO4SSR ALIVE👻\nIT Activist Student | SAP®, SPY© | MBA FIN Qualified | SAP Consultant Certified |  PokemonGO Fan & Player Level 32+', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 6, 3, 9, 24, 31, tzinfo=datetime.timezone.utc), 'followersCount': 1823, 'friendsCount': 1071, 'statusesCount': 52539, 'favouritesCount': 143267, 'listedCount': 2, 'mediaCount': 4774, 'location': 'Bengaluru (India), Germany', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1599375051194699776/Z42plh2R_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1400382639886934020/1638534435', 'label': None}",2022-09-11 17:31:19+00:00,"They are thinking that Boycott is Scam, Fraud...

In reality Bollyweed is Fraud Scandal hiding Real Budget amount and showing fake Box office collections @dir_ed @IncomeTaxIndia 
PVR and INOX shares going down 👎 https://t.co/dH899gGPfk","Bengaluru (India), Germany",False,1823,2021-06-03 09:24:31+00:00
"{'username': 'Voleti5', 'id': 815406559727493120, 'displayname': 'Voleti', 'rawDescription': 'Paly your role in life with such a passion, so that even curtains are down, applause should not stop.', 'renderedDescription': 'Paly your role in life with such a passion, so that even curtains are down, applause should not stop.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2017, 1, 1, 3, 57, 28, tzinfo=datetime.timezone.utc), 'followersCount': 183, 'friendsCount': 300, 'statusesCount': 39864, 'favouritesCount': 24823, 'listedCount': 1, 'mediaCount': 1062, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1566093801416171520/VCMEre2Y_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/815406559727493120/1632359439', 'label': None}",2022-09-11 17:30:13+00:00,"Kyun Andh Bhakts, boycott karegaa aaj ke date mei iss film ko?",India,False,183,2017-01-01 03:57:28+00:00
"{'username': 'Ganesh61706362', 'id': 1380559718582644737, 'displayname': 'Ganesh Hegde', 'rawDescription': '⛳⛳⛳⛳🙏🙏🙏🙏\n\nದೇಶ ಮೊದಲು', 'renderedDescription': '⛳⛳⛳⛳🙏🙏🙏🙏\n\nದೇಶ ಮೊದಲು', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 4, 9, 16, 35, 34, tzinfo=datetime.timezone.utc), 'followersCount': 2003, 'friendsCount': 2338, 'statusesCount': 47249, 'favouritesCount': 77874, 'listedCount': 0, 'mediaCount': 4171, 'location': 'Sirsi, uttarakannada ಕದಂಬರನಾಡು', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1570088601995874304/FRoDhP3L_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1380559718582644737/1663173752', 'label': None}",2022-09-11 17:10:58+00:00,"#BoycottbollywoodForever
boycott","Sirsi, uttarakannada ಕದಂಬರನಾಡು",False,2003,2021-04-09 16:35:34+00:00
